catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
216,I,Io VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
217,I,IonMonkey,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
218,I,IoT.js,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
219,I,IronPython,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
220,I,IronPython on CLR,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
221,I,IronRuby,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
222,I,IronRuby on CLR,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
223,J,JamaicaVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
224,J,JamVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
225,J,Java ME KVM,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
226,J,Java Virtual Machine (JVM),JVM,Virtual machine specification,Java bytecode / JVM languages,Interpreter + JIT + optional AOT,JVM class file / bytecode,Garbage collected,"Server, desktop, embedded",Managed VM isolation; OS process boundary,Java ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.oracle.com/javase/specs/jvms/se27/html/index.html
227,J,JavaScriptCore,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,Apple / WebKit,Used by Safari/WebKit and Bun,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Optimizing JavaScript VM with LLInt, baseline JIT, DFG and FTL tiers.",https://docs.webkit.org/Deep%20Dive/JSC/JavaScriptCore.html
228,J,JerryScript,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
229,J,JerryScript Embedded Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
230,J,Jikes RVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
231,J,Jim Tcl Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
232,J,Jint,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
233,J,JNode JVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
234,J,JOP Java Optimized Processor VM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
235,J,JRockit,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
236,J,JRuby,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
237,J,js_of_ocaml Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
238,J,JScript Engine,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
239,J,JScript.NET Engine,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
240,J,Jsish,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
241,J,Julia GC Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
242,J,Julia JIT,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
243,J,Julia Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
244,J,JVM Classic VM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
245,J,JXcore,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
